piction ID,filename,event ID,permissions,iso 8601,day,month,year,recording location,pfa series,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18,Born-digital status,digitizer,file size
11878802,20110428_Dish-and-the-Spoon_Alison-Bagnall.WAV,02385,1,2011-04-28T00:00:00Z,28,04,2011,,Dish and the Spoon,Dish and the Spoon,,,,,Alison Bagnall,,,,,,,,,,,,Dish and the Spoon,,,,,,,,,,,,,,,,,,Born-digital,,154964780
11878811,20110428_Patricio-Guzman_Nostalgia-For-The-Light.WAV,02386,1,2011-04-28T00:00:00Z,28,04,2011,,Nostalgia For The Light,Nostalgia For The Light,,,,,Patricio Guzman,Jorge Ruffinelli,,,,,,,,,,,Nostalgia For The Light,,,,,,,,,,,,,,,,,,Born-digital,,400893740
11878820,20110429_Living-on-Love-Alone_Isabelle-Czajika.WAV,02387,1,2011-04-29T00:00:00Z,29,04,2011,,Living on Love Alone,Living on Love Alone,,,,,Isabelle Czajika,,,,,,,,,,,,Living on Love Alone,,,,,,,,,,,,,,,,,,Born-digital,,289532204
11878829,20110430_The-Tiniest-Place_Tatiana-Huezo.WAV,02388,3,2011-04-30T00:00:00Z,30,04,2011,,The Tiniest Place,The Tiniest Place,,,,,Tatiana Huezo,,,,,,,,,,,,The Tiniest Place,,,,,,,,,,,,,,,,,,Born-digital,,202733612
11878838,20110502_The-Pipe_Risteard-ODomnhnaill.WAV,02389,2,2011-05-02T00:00:00Z,02,05,2011,,The Pipe,The Pipe,,,,,Risteard ODomnhnaill,,,,,,,,,,,,The Pipe,,,,,,,,,,,,,,,,,,Born-digital,,166199084
11878847,20110503_Cinema-Komunisto_Mila-Turajlic.WAV,02390,2,2011-05-03T00:00:00Z,03,05,2011,,Cinema Komunisto,Cinema Komunisto,,,,,Mila Turajlic,,,,,,,,,,,,Cinema Komunisto,,,,,,,,,,,,,,,,,,Born-digital,,103237676
11878856,20110503_The-Salesman_Sebastien-Pilote.WAV,02391,2,2011-05-03T00:00:00Z,03,05,2011,,The Salesman,The Salesman,,,,,Sebastien Pilote,,,,,,,,,,,,The Salesman,,,,,,,,,,,,,,,,,,Born-digital,,197367596
11878865,20110504_Ulysses_Oscar-Godoy.WAV,02392,2,2011-05-04T00:00:00Z,04,05,2011,,Ulysses,Ulysses,,,,,Oscar Godoy,,,,,,,,,,,,Ulysses,,,,,,,,,,,,,,,,,,Born-digital,,220094252
11878874,20110506_Film-And-Videomakers-At-Cal_Eisner-Prize-2011_Mark-Berger_Katelyn-Stiles_Jonathan-Wang_Nancy-Ledesma_Nathaniel-Klein.WAV,02393,3,2011-05-06T00:00:00Z,06,05,2011,,Film And Video Makers At Cal,Film And Videomakers At Cal Eisner Prize 2011,,,,,Mark Berger,Katelyn Stiles,Jonathan Wang,Nancy Ledesma,Nathaniel Klein,,,,,,,,Eisner Prize 2011,,,,,,,,,,,,,,,,,,Born-digital,,158423084
11878883,20110612_Mickey-One_David-Thomson.WAV,02394,2,2011-06-12T00:00:00Z,12,06,2011,,Mickey One,Mickey One,,,,,David Thomson,,,,,,,,,,,,Mickey One,,,,,,,,,,,,,,,,,,Born-digital,,98530604
11878893,20110615_Cult-of-the-Kuchars_Beyond-Melodrama_George-Kuchar_Mike-Kuchar.WAV,02395,1,2011-06-15T00:00:00Z,15,06,2011,,Cult of the Kuchars,Beyond melodrama cult of the kuchars,,,,,George Kuchar,Mike Kuchar,,,,,,,,,,,Hold me while I'm naked,,,,,,,,,,,,,,,,,,Born-digital,,240357932
11878902,20110618_Alices-Restaurant_Bonnie-And-Clyde_Nat-Segaloff.WAV,02396,2,2011-06-18T00:00:00Z,18,06,2011,,Alices Restaurant,Alices restaurant,,,,,Nat Segaloff,,,,,,,,,,,,Bonnie And Clyde,Alices restaurant,,,,,,,,,,,,,,,,,Born-digital,,181599020
11878911,20110623_Cult-of-the-Kuchars_8mm-Films_George-Kuchar_Mike-Kuchar_Gene-Youngblood.WAV,02397,1,2011-06-23T00:00:00Z,23,06,2011,,Cult of the Kuchars,8mm films cult of the Kuchars,,,,,George Kuchar,Mike Kuchar,Gene Youngblood,,,,,,,,,,Naked and the nude,,,,,,,,,,,,,,,,,,Born-digital,,638270252
11878920,20110803_Animators-Art_Behind-the-Scenes_John-Musker.WAV,02398,2,2011-08-03T00:00:00Z,03,08,2011,,Behind the scenes Animators Art,Animators art lecture and clips,,,,,John Musker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born-digital,,836543276
11878929,20110803_Pinocchio_Behind-the-Scenes_John-Musker_Fragment.WAV,02399,2,2011-08-03T00:00:00Z,03,08,2011,,Behind the scenes,Behind the scenes Pinocchio,,,,,John Musker,Fragment,,,,,,,,,,,Pinocchio,,,,,,,,,,,,,,,,,,Born-digital,,27173420
